Timestamp_Unix,Bus_V,Shunt_mV,Current_mA,Power_mW
1779966986.3820858,Bus Voltage,Shunt Voltage,Current,Power
1779966987.8767314,5.048,7.410,73.300,370.000
1779966987.8798323,5.048,7.330,73.300,370.000
1779966987.8837416,5.048,7.380,73.600,370.000
1779966987.8875844,5.048,6.870,73.900,374.000
1779966987.8908987,5.048,7.370,73.400,370.000
1779966987.8947916,5.044,7.340,73.300,370.000
1779966987.898652,5.044,7.330,73.400,370.000
1779966987.9018025,5.048,7.360,74.200,374.000
1779966987.905864,5.048,7.380,73.800,374.000
1779966987.9096189,5.048,7.330,73.400,370.000
1779966987.9128113,5.048,7.320,73.600,370.000
1779966987.9168005,5.044,7.350,73.900,374.000
1779966987.920519,5.052,6.200,61.900,314.000
1779966987.9236443,5.048,6.220,62.000,314.000
1779966987.9278557,5.048,6.140,61.600,294.000
1779966987.9307094,5.056,4.550,54.400,276.000
1779966987.9348376,5.048,6.200,62.200,314.000
1779966987.938838,5.052,6.230,62.300,314.000
1779966987.9418004,5.052,6.210,61.900,312.000
1779966987.945812,5.052,6.150,61.600,312.000
1779966987.9496937,5.048,7.350,78.300,396.000
1779966987.9528096,5.048,7.380,73.600,340.000
1779966987.956749,5.048,7.370,73.900,374.000
1779966987.9606082,5.048,7.370,73.400,370.000
1779966987.963786,5.048,7.330,73.300,340.000
1779966987.9678385,5.048,7.350,73.900,374.000
1779966987.9715588,5.048,7.360,73.700,374.000
1779966987.9748657,5.044,7.390,71.100,360.000
1779966987.9788477,5.048,7.330,73.600,370.000
1779966987.9826102,5.048,7.330,73.300,370.000
1779966987.9857686,5.048,7.370,74.300,376.000
1779966987.989814,5.044,7.360,73.900,374.000
1779966987.9935303,5.044,7.390,73.600,370.000
1779966987.9966402,5.048,7.350,73.500,338.000
1779966988.0008166,5.048,7.340,73.200,370.000
1779966988.003745,5.044,7.390,73.600,374.000
1779966988.0077066,5.044,7.360,68.300,344.000
1779966988.0118406,5.048,7.360,73.300,370.000
1779966988.0148447,5.048,7.340,73.400,370.000
1779966988.0187433,5.044,7.340,68.400,344.000
1779966988.0227084,5.044,7.370,73.700,374.000
1779966988.025766,5.044,7.390,73.900,374.000
1779966988.0297732,5.044,7.350,70.500,368.000
1779966988.0336,5.044,7.330,73.200,370.000
1779966988.0367742,5.048,7.350,73.600,374.000
1779966988.0407987,5.044,7.360,68.100,344.000
1779966988.0440843,5.048,7.380,73.700,374.000
1779966988.0480266,5.044,7.350,73.500,370.000
1779966988.0518856,5.044,7.330,63.900,322.000
1779966988.0556643,5.044,7.370,73.700,370.000
1779966988.0590665,5.048,7.400,74.000,374.000
1779966988.0631273,5.048,7.390,67.800,370.000
1779966988.0666258,5.048,7.380,73.400,370.000
1779966988.0699563,5.048,7.330,73.600,374.000
1779966988.0741103,5.048,6.960,74.000,374.000
1779966988.0776486,5.044,7.370,73.800,374.000
1779966988.0808806,5.048,7.340,73.400,370.000
1779966988.0848925,5.048,7.130,70.200,354.000
1779966988.0877705,5.044,7.360,73.300,374.000
1779966988.0917807,5.048,7.360,73.900,374.000
1779966988.0955994,5.044,7.370,69.100,374.000
1779966988.098904,5.048,6.120,61.300,312.000
1779966988.1028063,5.052,6.140,61.500,312.000
1779966988.1066368,5.052,5.500,62.000,314.000
1779966988.109829,5.052,6.190,62.100,314.000
